design_id,ATP_production,ROS_accumulation,OCR_efficiency
Design_00000,94.74926200173185,12.791704764795956,230.15754037920834
Design_00001,86.98314509429973,14.373633501130195,222.9792914833866
Design_00002,67.35285413860005,13.21338577927339,229.94638727676244
Design_00003,95.89790789897097,11.359139225123533,229.54019518485813
Design_00004,97.19139913078318,11.70660743179964,245.48096694525492
Design_00005,79.46124937552777,14.504609979880616,217.05154749797947
Design_00006,118.13094567151282,11.010752613300706,239.443571591208
Design_00007,88.52810865631547,13.26414092777329,230.773044521812
Design_00008,69.82648925226789,13.737914753671978,226.66672999099285
Design_00009,82.81076962985698,11.244003340572712,216.64814946249078
Design_00010,93.52653891827484,12.831199934315666,243.6183590100348
Design_00011,83.6996094266195,13.675372569409618,231.85904958356056
Design_00012,81.19592478215424,12.225973918712572,224.2214167216066
Design_00013,79.62907442274978,14.580793300327825,230.47816499563848
Design_00014,85.67616423444028,13.57015059079065,235.85348677075848
Design_00015,60.37558984234405,14.919233198356846,227.1858245059799
Design_00016,91.14591051513905,12.1794401872523,238.56646917913662
Design_00017,80.492105177935,16.390029877134197,230.80971352669195
Design_00018,73.94815018926627,13.297042163740164,223.46920134833348
Design_00019,89.08455903877467,15.16322682361188,244.20143580639177
Design_00020,74.82070256423155,16.546290621212442,233.17908076149752
Design_00021,135.3688687235869,14.144233449784995,239.54292600177416
Design_00022,86.93161856854374,13.64050756798659,218.59323531556385
Design_00023,81.4120471379838,13.715563076320302,231.87970120526745
Design_00024,72.04876550904035,15.152091545687961,217.06056170533355
Design_00025,114.77167124739388,12.490902434108776,247.41420929371694
Design_00026,87.97602124443576,13.158530717614447,232.32184684133023
Design_00027,97.44014060353189,12.27770835745222,238.62865556723494
Design_00028,75.70932902447126,13.521464289508252,232.50315977036908
Design_00029,92.29634445857566,14.491398214506864,220.0995098020587
Design_00030,90.43160545536134,15.082656054079415,227.77098726380146
Design_00031,100.59772595688229,12.266284903323687,238.8492270998072
Design_00032,104.18435815959513,11.630091748077616,239.1780269955035
Design_00033,77.1507038398111,13.314977732782886,225.93878274512525
Design_00034,88.4577440699746,13.914133566663219,236.12025393821187
Design_00035,84.13014876666423,13.159338321115332,218.1750079459158
Design_00036,96.72593248025888,11.843733407495385,233.46034995105674
Design_00037,65.0560950918865,12.6447860344524,221.384408041488
Design_00038,87.54380799391728,13.146429228915464,224.32166571158086
Design_00039,78.51010086456384,15.004469975372128,229.0580520247284
Design_00040,76.63695022707122,11.458957003006947,222.5670983603398
Design_00041,76.99918475063382,12.882541982961932,233.679658150936
Design_00042,66.93969011466633,12.861863487641893,234.73934364732787
Design_00043,73.26318386888897,13.54627094032447,250.1314151555021
Design_00044,108.44962116964453,12.091817839731474,241.94859926810378
Design_00045,79.45688260482011,14.210534910100256,230.35955346806676
Design_00046,79.96401029230975,12.87323967164598,223.36879455819673
Design_00047,75.05728800943739,14.191829646652447,238.50101127612717
Design_00048,79.9100972947181,15.29568990604965,231.58182160697785
Design_00049,85.65338814994158,14.581872523195829,229.87173858947995
Design_00050,65.31946593361778,14.601944600243183,253.46909845881896
Design_00051,67.58954085321116,15.088502793450552,225.1904292859789
Design_00052,74.25448237264317,13.504478931772026,236.23598805005506
Design_00053,130.88268854559942,12.987349007678427,243.2035737430156
Design_00054,84.39770564963689,12.23434300401089,226.50886992725995
Design_00055,76.91875397181845,13.015546962959089,228.42355105203023
Design_00056,80.30193771340645,14.409211662130442,222.22653061529266
Design_00057,74.71495697529241,14.309504521134931,235.66167743942592
Design_00058,62.1312271361441,15.01346129799557,233.65385286655768
Design_00059,72.34870253838609,14.269809599991648,219.3985975131859
Design_00060,75.44144867540037,13.072629412921444,234.4731963830266
Design_00061,78.30817061984406,14.598358834897262,238.1929083892459
Design_00062,99.81372990370032,11.677122665826264,250.3156560008539
Design_00063,76.05425122941608,13.671973213632281,247.07007426515838
Design_00064,104.74200728874969,16.200207352566142,249.00172629830467
Design_00065,69.77854974711303,15.144634990006747,224.6343975431023
Design_00066,85.42439812294897,12.811628100851301,226.00074760827766
Design_00067,100.19962683018633,13.518856314255498,242.83180156287412
Design_00068,90.48815571928286,10.479990222623144,252.53514058039505
Design_00069,72.97731563472256,12.854832223088845,242.74312918259085
Design_00070,97.32213780877905,12.875907986501927,243.55763468622172
Design_00071,90.5706372774486,11.667994492656083,247.75547110399975
Design_00072,69.40442581262543,15.54526488009095,217.45253825345748
Design_00073,94.54072849882736,11.906138127235533,239.81373504074105
Design_00074,83.11119886303396,13.699763861386055,228.82349927375338
Design_00075,90.25288172775993,12.464056432398117,231.83355676256102
Design_00076,82.8113688125764,13.915210223759786,228.4769431544234
Design_00077,80.9494680064605,13.803337497577768,240.09889295650575
Design_00078,74.87759616635972,11.63902646598327,241.3846691585542
Design_00079,83.98458753681349,14.025452685991231,224.4029093883541
Design_00080,76.71236823521174,13.172049076533904,231.94034986162953
Design_00081,76.41888503626505,13.74490523004979,246.4442462833672
Design_00082,69.15677984134766,15.780640439594158,231.62769957154518
Design_00083,84.5954122109779,13.578376064800375,242.70701249294308
Design_00084,80.80423401897033,15.118354191539755,234.02595109448995
Design_00085,94.7367926326303,12.704075891059363,223.74263344875766
Design_00086,95.5259372501493,14.056106321448059,237.84380150233474
Design_00087,71.48132984528874,13.214570869760227,225.3835041902384
Design_00088,85.42555847698823,12.823821862114626,235.89045908083037
Design_00089,97.72210885663631,13.66826005216749,231.6522630560756
Design_00090,72.62495390381686,14.513183305615655,233.1928620776414
Design_00091,87.36085297890453,13.351855064663926,234.78978115504995
Design_00092,72.48947241389372,16.724940699881465,229.9847235731019
Design_00093,80.8505994263461,14.874454149018227,229.9052956714753
Design_00094,83.49321562951091,13.955913968824051,223.53694104845562
Design_00095,84.8739167789722,12.172313184233154,232.27869898143007
Design_00096,82.48068302606634,13.926632632328065,217.6994789773753
Design_00097,89.72880855926442,12.036368953567258,254.86653003558519
