design_id,expr_ND1,expr_ND2,expr_ND3,expr_ND4,expr_ND5,expr_ND6,expr_ATP6,expr_ATP8,expr_CYTB,expr_COX1,expr_COX2,expr_COX3
Design_00000,50.471039433864135,120.44881475190643,40.79030688121573,71.27248491638986,9.152842723638315,8.503669491944432,177.95639988660352,26.0505968832444,141.99874359478807,71.68590344455967,58.280151632863976,73.56867452031936
Design_00001,39.99807947281605,81.5855327996323,38.51264267520417,48.35501124003265,1.9674062726863464,368.3875594665665,23.822302141475962,9.637484084804107,45.326761031253,52.102164936949954,13.31056036907463,20.0249073083396
Design_00002,65.81955338383145,26.29465368136287,66.64484550908092,8.330980246392572,46.89100900326995,7.236456024355178,25.089680747417212,31.14736274337867,109.90230997167679,26.305127684805445,11.128722421509634,428.02051012341235
Design_00003,26.22536414627187,10.76941506878191,61.9749870410069,10.716392204326281,83.82806107535156,104.2937145982333,221.5142074115973,36.61691015546586,77.43403168900161,12.467514525668227,148.0732443258481,34.157625918506355
Design_00004,262.5473925841036,144.0077774819222,3.8686764647351497,31.487337378087595,135.8597037938826,13.873201636225673,136.83408687745526,3.2419922799394243,110.21958737494903,73.15439971622008,70.96287936587599,36.480695923144836
Design_00005,64.33804513846412,8.542518749870002,67.47176410771274,95.95203052292939,24.674530537341923,77.70560621509902,21.143149665948926,57.351288245746446,14.58918085459614,45.229801803491306,130.5448932776533,182.2871211009652
Design_00006,31.430196416075482,44.151967000194,21.292978880726505,277.8673044925178,296.0660398702844,147.1157741351678,241.52486032755206,16.245306558514432,230.65322265520706,54.291705440105744,9.148017397635966,36.86089094747069
Design_00007,55.259931051256274,21.640803027556043,30.63672886300155,47.517781188937626,36.09118831417678,18.504958870593203,68.76026187314373,147.66531772858957,57.077201311815706,95.036821207638,20.341410892682855,32.091957949325206
Design_00008,17.90502670820327,18.216641428174572,13.808921613711286,22.816096259549877,13.435450253482443,13.968582604962773,18.201357499062187,41.158622875222385,3.686941051223281,202.39431091683502,87.52896502410421,81.6456711701936
Design_00009,40.731991179405654,20.694983996408943,56.587122162261906,11.176988399003553,6.134644044241502,1.954637000019987,150.62527418483572,15.214495063922003,29.77936096123619,89.201219322806,13.908105363594347,237.11719735147403
Design_00010,79.50939092119917,19.270989770717755,182.97589292660277,103.94124895840315,12.174461125687829,17.74224561323787,185.7669389416353,7.390131336876286,12.77291247975938,24.54618073304541,56.031353255560134,36.69698695248753
